Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11_2, C11, C12_2, C12, C13_2, C13, C14_2, C14, C15_2, C15, C2, C3, C4, C5, C6, C7, C8, C9",0603,20,0.1f,
C21,0805,1,0.1f,
"IC1_2, IC1",SOIC127P600X175-8N,2,AS5600-ASOT,
J1,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,1,Conn_01x14,
"J2_2, J2",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04,
"PH1, PH10, PH11_2, PH11, PH12_2, PH12, PH13_2, PH13, PH14_2, PH14, PH2, PH3, PH4, PH5, PH6, PH7, PH8, PH9",LBR-123F,18,LBR-123F,
"R1, R11, R13, R15, R17, R19, R21_2, R21, R23_2, R23, R25_2, R25, R27_2, R27, R3, R5, R7, R9",0603,18,100,
"R10, R12, R14, R16, R18, R2, R20, R22_2, R22, R24_2, R24, R26_2, R26, R28_2, R28, R4, R6, R8",0603,18,10k,
"U1_2, U1",encoder,2,encoder,
