Designator,Mid X,Mid Y,Rotation,Layer
C1,162.0,-80.5,270.0,top
C10,141.0,-100.0,90.0,top
C11,157.5,-91.0,180.0,top
C12,161.0,-87.5,90.0,top
C13,156.0,-74.5,180.0,top
C14,159.5,-74.5,180.0,top
C15,162.0,-77.0,90.0,top
C16,122.5,-120.5,90.0,top
C17,127.5,-125.5,0.0,top
C18,108.0,-73.0,180.0,top
C19,114.0,-73.0,180.0,top
C2,108.5,-100.0,180.0,top
C20,120.0,-73.0,180.0,top
C21,180.0,-73.0,180.0,top
C22,186.0,-73.0,180.0,top
C23,192.0,-73.0,180.0,top
C24,162.0,-84.5,180.0,top
C25,174.5,-81.0,90.0,top
C26,175.0,-97.0,0.0,top
C27,175.0,-91.5,90.0,top
C28,131.5,-125.5,180.0,top
C29,114.0,-91.0,180.0,top
C3,191.5,-100.0,180.0,top
C30,123.0,-103.75,180.0,top
C31,186.0,-91.0,0.0,top
C32,116.0,-124.0,270.0,top
C33,118.75,-128.0,270.0,top
C4,171.5,-91.5,90.0,top
C5,171.5,-95.5,270.0,top
C6,141.5,-95.5,0.0,top
C7,150.0,-91.0,0.0,top
C8,159.0,-100.0,270.0,top
C9,150.0,-109.0,0.0,top
D1,165.0,-88.0,180.0,top
D10,170.5,-88.0,0.0,top
D11,182.0,-126.5,180.0,top
D12,187.0,-126.5,180.0,top
D13,114.0,-94.0,0.0,top
D14,186.0,-94.0,180.0,top
D15,192.0,-126.5,180.0,top
D16,136.0,-120.5,90.0,top
D17,178.0,-113.0,90.0,top
D18,163.0,-105.0,270.0,top
D19,173.0,-84.5,180.0,top
D2,180.5,-117.0,0.0,top
D20,158.0,-133.0,90.0,top
D21,160.5,-133.0,90.0,top
D22,163.0,-133.0,90.0,top
D23,172.5,-67.5,270.0,top
D24,170.0,-67.5,270.0,top
D25,167.5,-67.5,270.0,top
D26,175.0,-77.5,180.0,top
D27,175.0,-75.75,180.0,top
D3,108.0,-68.5,90.0,top
D4,114.0,-68.5,90.0,top
D5,120.0,-68.5,90.0,top
D6,180.0,-68.5,90.0,top
D7,186.0,-68.5,90.0,top
D8,192.0,-68.5,90.0,top
D9,167.5,-84.5,0.0,top
J1,150.0,-69.5,180.0,top
J2,169.5,-119.5,270.0,top
J3,117.5,-81.05,0.0,top
J4,182.5,-81.0,0.0,top
LS1,132.0,-104.0,90.0,top
PH1,109.0,-80.5,270.0,top
PH2,108.95,-119.5,270.0,top
PH3,191.0,-80.5,90.0,top
PH4,191.05,-119.5,90.0,top
PH5,131.0,-120.5,90.0,top
PH6,111.5,-132.45,180.0,top
PH7,125.5,-132.45,180.0,top
Q1,130.5,-95.0,0.0,top
Q2,113.0,-127.0,90.0,top
Q3,109.0,-127.0,90.0,top
Q4,171.34,-111.0025,0.0,top
Q5,171.34,-103.0025,0.0,top
Q6,136.5,-115.0,90.0,top
Q7,116.5,-76.0,0.0,top
Q9,147.0,-81.0,270.0,top
R1,122.0,-76.0,270.0,top
R10,163.5,-111.0,270.0,top
R11,180.5,-114.5,90.0,top
R12,133.0,-114.5,270.0,top
R13,140.0,-112.0,90.0,top
R14,119.5,-76.01,90.0,top
R15,113.59,-75.99,270.0,top
R16,147.0,-86.5,180.0,top
R17,182.0,-128.0,0.0,top
R18,147.0,-84.5,180.0,top
R19,187.0,-128.0,0.0,top
R2,159.0,-104.5,270.0,top
R20,192.0,-128.0,0.0,top
R21,182.01,-125.0,180.0,top
R22,187.0,-125.0,180.0,top
R23,192.0,-125.0,180.0,top
R24,122.0,-100.0,90.0,top
R25,182.5,-114.5,90.0,top
R26,126.5,-95.0,270.0,top
R27,158.0,-85.0,90.0,top
R28,155.5,-85.0,90.0,top
R29,162.0,-125.5,270.0,top
R3,124.0,-100.0,270.0,top
R30,164.0,-125.5,270.0,top
R31,166.0,-125.5,270.0,top
R32,160.0,-67.5,270.0,top
R33,162.5,-67.5,270.0,top
R34,165.0,-67.5,270.0,top
R35,176.0,-73.0,90.0,top
R36,174.0,-73.0,90.0,top
R4,133.9375,-95.0,270.0,top
R5,135.9375,-95.0,270.0,top
R6,112.5,-124.0,180.0,top
R7,109.5,-124.0,180.0,top
R8,106.0,-128.0,90.0,top
R9,116.0,-128.0,90.0,top
SW1,180.5,-120.5,0.0,top
SW2,167.0,-132.0,180.0,top
SW3,172.0,-132.0,180.0,top
SW4,177.0,-132.0,180.0,top
SW5,182.0,-132.0,180.0,top
SW6,187.0,-132.0,180.0,top
SW7,192.0,-132.0,180.0,top
U1,133.5,-80.99,0.0,top
U2,114.0,-99.975,270.0,top
U3,186.0,-100.0,270.0,top
U4,118.5,-100.0,0.0,top
U5,165.0,-93.5,0.0,top
U6,150.0,-100.0,135.0,top
U7,169.0,-76.26,90.0,top
U8,181.5,-100.0,180.0,top
U9,157.5,-79.0,90.0,top
Y1,158.5,-94.5,90.0,top
